Table Poss,Season,Points,Team,Total Shots,Shots OutOfBox,Shots SixYardBox,Shots PenaltyArea,Shots Open Play,Shots Counters,Shots Set Pieces,Shots Against,Total Goals,Goals OutOfBox,Goals PenaltyArea,Goals SixYardBox,Goals Penalty,Own Goals,Total Goals Less PK,Goals Open Play,Goals Counters,Goals Set Pieces,Goals Allowed,Key Passes,Assists,Unsuccessful Dribbles,Successful Dribbles,TotalTackles,DribbledPast,Interceprions,Expenditure,Income,Net Spend
1,2009/2010,86,Chelsea,834,377,63,394,572,26,224,372,100,9,63,27,11,4,89,63,8,17,32,639,72,331,327,772,202,705,27000000.00,2700000.00,-24300000.00
2,2009/2010,85,Manchester United,695,280,35,380,512,22,153,521,76,9,54,13,6,10,70,51,6,13,28,549,51,198,329,828,214,602,24600000.00,93570000.00,68970000.00
4,2009/2010,70,Tottenham,681,322,44,315,439,29,210,414,67,8,42,17,3,6,64,42,6,17,41,515,48,291,341,844,234,804,36270000.00,26820000.00,-9450000.00
3,2009/2010,75,Arsenal,660,268,39,353,456,36,164,384,79,18,45,14,2,0,77,49,9,16,41,504,57,326,453,818,252,839,10800000.00,42930000.00,32130000.00
6,2009/2010,64,Aston Villa,497,195,48,254,299,18,172,608,51,8,26,14,3,3,48,23,4,16,39,364,35,273,185,880,280,690,42210000.00,19890000.00,-22320000.00
5,2009/2010,67,Manchester City,526,217,43,266,316,46,159,513,74,10,43,20,5,0,69,37,10,21,45,396,52,322,293,802,220,805,132570000.00,26820000.00,-105750000.00
7,2009/2010,63,Liverpool,642,297,52,293,445,19,175,388,60,7,36,15,5,4,55,37,4,14,35,466,42,399,308,958,249,763,39150000.00,43830000.00,4680000.00
8,2009/2010,61,Everton,589,270,38,281,378,17,186,505,59,8,33,15,6,0,53,32,2,17,49,433,39,182,221,768,216,827,20970000.00,25510000.00,4540000.00
9,2009/2010,50,Birmingham,452,197,42,213,264,25,159,657,38,8,16,13,6,2,32,17,4,14,47,312,25,305,240,785,279,777,16200000.00,360000.00,-15840000.00
13,2009/2010,44,Sunderland,444,198,28,218,274,30,131,619,48,4,30,12,4,1,44,25,6,9,56,299,31,236,215,890,262,829,40140000.00,19150000.00,-20990000.00
17,2009/2010,35,West Ham,549,261,21,267,358,14,168,604,50,6,30,11,1,1,49,22,0,18,66,394,32,390,274,830,299,755,18950000.00,37170000.00,18220000.00
12,2009/2010,46,Fulham,463,229,32,202,300,8,151,555,43,9,22,7,5,4,38,25,0,9,46,335,25,220,147,745,258,752,6420000.00,0.00,-6420000.00
14,2009/2010,39,Bolton,558,254,52,252,320,16,218,616,46,4,26,12,7,0,39,18,0,20,67,377,28,243,199,912,294,735,10800000.00,1800000.00,-9000000.00
11,2009/2010,47,Stoke,402,150,44,208,180,17,203,581,34,2,22,9,4,0,30,16,1,14,48,296,26,282,149,724,197,738,23450000.00,5850000.00,-17600000.00
16,2009/2010,36,Wigan,555,308,37,210,369,27,156,543,37,5,21,10,2,1,35,24,1,10,79,407,24,412,338,908,277,743,15980000.00,23310000.00,7330000.00
10,2009/2010,50,Blackburn,489,183,54,252,250,12,224,509,40,5,21,13,3,0,37,13,2,21,55,314,26,295,169,709,241,730,11950000.00,21300000.00,9350000.00
20,2009/2010,19,Portsmouth,533,272,37,224,351,16,160,585,37,3,19,12,2,1,35,17,2,12,66,371,25,302,229,774,294,681,7920000.00,46850000.00,38930000.00
15,2009/2010,38,Wolverhampton Wanderers,436,176,38,222,278,6,150,589,31,3,16,9,6,0,25,14,0,12,56,316,19,247,135,705,186,537,17280000.00,783000.00,-16497000.00
18,2009/2010,30,Burnley,459,227,21,211,299,21,133,635,44,4,30,8,2,4,42,30,2,4,82,335,31,312,227,686,263,661,12190000.00,81000.00,-12109000.00
19,2009/2010,30,Hull,388,199,23,166,236,12,132,657,39,7,20,7,3,2,36,15,1,12,75,244,19,264,179,760,219,674,12740000.00,14400000.00,1660000.00
2,2010/2011,71,Chelsea,745,324,59,362,490,28,219,440,69,18,42,8,4,2,65,40,4,18,33,560,45,318,384,769,238,616,109350000.00,14850000.00,-94500000.00
1,2010/2011,80,Manchester United,618,265,46,307,439,24,150,459,76,23,45,7,3,3,73,54,5,13,37,479,59,267,312,693,235,646,26370000.00,15170000.00,-11200000.00
4,2010/2011,68,Arsenal,654,232,50,372,451,28,168,402,71,15,50,5,6,1,65,54,3,9,43,507,57,311,399,772,254,709,20700000.00,8190000.00,-12510000.00
3,2010/2011,71,Manchester City,546,237,27,282,366,28,143,566,58,9,40,9,6,1,52,35,2,13,33,395,38,321,346,826,260,629,165240000.00,28980000.00,-136260000.00
5,2010/2011,62,Tottenham,657,341,34,282,419,27,203,513,54,9,30,14,4,3,50,33,3,12,46,483,33,307,376,754,238,661,23310000.00,1080000.00,-22230000.00
6,2010/2011,58,Liverpool,582,246,41,295,408,20,147,490,61,11,42,5,8,2,53,38,3,11,44,431,32,317,290,908,285,592,87770000.00,90450000.00,2680000.00
8,2010/2011,49,Fulham,547,266,29,252,383,11,150,532,53,11,30,7,5,2,48,27,2,17,43,426,35,218,204,799,330,668,9950000.00,11350000.00,1400000.00
14,2010/2011,46,Bolton,570,247,42,281,353,18,194,600,50,12,30,8,3,1,47,29,3,14,56,404,33,214,225,939,331,627,4860000.00,1260000.00,-3600000.00
10,2010/2011,47,Sunderland,532,268,24,240,366,26,135,547,43,8,29,5,5,1,38,28,2,8,56,390,28,363,251,820,269,694,25650000.00,37600000.00,11950000.00
9,2010/2011,48,Aston Villa,506,194,47,265,320,22,158,600,46,13,26,6,4,2,42,28,4,9,59,386,34,304,223,844,280,667,33660000.00,25560000.00,-8100000.00
7,2010/2011,54,Everton,580,255,39,286,378,18,180,505,52,10,32,8,4,3,48,29,4,14,45,425,35,240,266,768,248,470,1530000.00,4320000.00,2790000.00
16,2010/2011,42,Wigan,511,254,23,234,354,31,123,505,36,6,22,8,4,3,32,20,5,9,61,374,22,435,377,914,285,763,10260000.00,2160000.00,-8100000.00
12,2010/2011,46,Newcastle United,507,191,49,267,319,14,169,505,57,20,29,6,2,1,55,29,1,20,57,349,32,333,287,666,274,608,10330000.00,36900000.00,26570000.00
20,2010/2011,33,West Ham,572,262,29,281,380,19,167,695,43,8,28,5,7,1,36,22,1,13,70,431,24,260,234,783,307,583,12850000.00,4460000.00,-8390000.00
13,2010/2011,46,Stoke,482,175,64,243,247,11,221,547,46,17,23,4,3,1,43,19,4,18,48,322,27,263,172,716,241,532,18990000.00,6100000.00,-12890000.00
15,2010/2011,43,Blackburn,453,163,43,247,256,13,182,615,43,12,23,7,5,2,38,22,1,18,59,306,30,305,212,748,249,734,4010000.00,248000.00,-3762000.00
19,2010/2011,39,Blackpool,531,253,53,225,351,20,152,737,59,17,26,11,1,4,58,27,3,17,78,383,35,279,265,780,335,451,4880000.00,630000.00,-4250000.00
11,2010/2011,47,West Bromwich Albion,597,284,41,272,403,22,166,532,58,14,33,6,2,4,56,35,3,11,71,450,40,317,305,725,273,662,12450000.00,765000.00,-11685000.00
18,2010/2011,39,Birmingham,401,188,34,179,240,22,137,687,41,15,19,3,3,2,38,18,1,16,58,298,25,195,151,668,279,573,21060000.00,0.00,-21060000.00
17,2010/2011,40,Wolverhampton Wanderers,459,179,49,231,282,7,167,570,47,14,26,5,2,0,45,25,1,16,66,335,33,246,160,677,213,520,18140000.00,5790000.00,-12350000.00
